网易云嘉宾，热评！！

还有我！💔
心疼有这么多像我一样心痛的人
凡事最后都做到仁至义尽的人,其实不是傻,只是为了以后可以心安理得的无情无义。 ​​​
我和他只可能是各自的嘉宾啦.
期待 祝福
嘉宾。
你从2019年‘11.19日离开我已经有快2年了；很想你
照片我没删 我只是保存云端了， 东西我没丢 我把它们装进了那个大箱子里， 而你 我提醒自己忘记你了， 我把你整理好 放进了我的电台里面，我放下所有的回忆，来成全你的爱情
等吃喜糖啊
赌吧
哈哈哈哈，喜糖就不要了，你们要幸福啊
意难平。
我在等你。
遗憾吗关于你们
感谢你特别邀请
别放弃
逅糖
我只是意难平。
看着这么多的评论。每条看着都好想哭。不是因为感动，是在心痛自己也和你们一样
有时候想要有一个很优秀的男孩出现在我身边 即使我永远追不上他 但感觉生活就有了盼头和动力
